Action,Price,Mu,Sigma,SimulationResult,ActualPriceAfterTrade,AskPrice,BidPrice,BuyVolume,SellVolume,AskBidSpread,RelativePriceChange,VolumeRatio,RSI_Short,RSI_Long,VolatilityCluster
BUY,103.9632342803949,0.0307632714054487,0.4310075688425212,95.73039097854246,101.98598574012776,105.00286662319886,102.92360193759094,56.97522980204181,75.49527064540524,0.02000000000000012,0.0,0.7546860791068977,0.0,0.0,0.0
SELL,100.7219273268824,0.0291672751051892,0.405811117861887,106.0528062470586,100.2741571043061,101.72914660015122,99.71470805361356,71.21539919463197,55.165454720744826,0.020000000000000136,0.0,1.2909419407892995,0.0,0.0,0.0
BUY,96.19055232572656,0.0110256826322574,0.3294115805822293,109.94475799807203,95.7636905191906,97.15245784898383,95.22864680246929,83.86296704966726,67.02694262073415,0.020000000000000132,0.0,1.2511829386532876,0.0,0.0,0.0
BUY,106.27590039413896,0.0236499131050462,0.4824188574447733,90.60052010658784,90.12928715579422,107.33865939808035,105.21314139019756,87.09769190958167,52.75149133479919,0.020000000000000094,0.0,1.6510943992139606,0.0,0.0,0.0
BUY,103.6946234510776,0.0252078247514342,0.1801898062113611,107.94731731581864,99.92478443801627,104.73156968558838,102.65767721656682,84.0103893791105,58.45236534237278,0.02000000000000006,0.0,1.4372453342591762,0.0,0.0,0.0
SELL,93.25233878689782,0.025952911235876,0.1437056841238485,102.45261067197316,95.71251977124486,94.1848621747668,92.31981539902884,66.33680861920323,43.72430459542298,0.0200000000000001,-0.10302580106933923,1.51716097529372,0.0,0.0,0.0
BUY,108.21854368987684,0.0332068947690932,0.4415847867821688,109.46765238329644,104.6921660142107,109.30072912677561,107.13635825297807,89.56932202382298,77.57774131192849,0.020000000000000004,0.07442884148418805,1.1545750172350648,0.0,0.0,0.0
BUY,106.45074485846338,0.0313441018690751,0.2756599266534993,99.30019035052857,90.47892530540967,107.51525230704802,105.38623740987875,78.93637973917174,62.89947798850111,0.020000000000000025,0.10666528348847715,1.2549608081175616,0.0,0.0,0.0
BUY,108.99599826583848,0.0343162037117377,0.4387875416828242,106.94775861142747,101.69655622611582,110.08595824849687,107.9060382831801,93.42925468644472,61.047310637533776,0.020000000000000007,0.025594681970340094,1.5304401405308938,0.0,0.0,0.0
SELL,104.5143901677672,0.0405953304616851,0.457236082078166,91.24788137196556,108.82948475012132,105.55953406944488,103.46924626608953,76.84772744816385,44.21476761884371,0.020000000000000077,0.007905585549248473,1.738055667130361,0.0,0.0,5.1162497599010335
BUY,102.2683039187158,0.0425194295486437,0.1249830374476285,96.70558100156592,93.48818534223,103.29098695790296,101.24562087952864,97.89269327257466,44.17413243667806,0.019999999999999987,0.09668352825360715,2.2160637425248697,0.0,0.0,5.1172549135931105
BUY,98.36486072581238,0.0387249230490597,0.4533859051944243,91.3403307550242,99.43298981501192,99.3485093330705,97.38121211855426,74.35620564566418,75.68099328400714,0.019999999999999886,-0.09105355356012068,0.982495107547064,0.0,0.0,5.288257344414015
BUY,108.65456966708028,0.0482209478381973,0.2793276221477688,109.5068626695814,91.82843983634277,109.74111536375108,107.56802397040948,89.14558620109594,81.10947665657254,0.019999999999999886,0.020702765504807985,1.0990773195043348,0.0,0.0,5.013127135252244
